step,elapsed_seconds,sensor_id,congestion
0,0,1201054,1.0
0,0,1201066,0.0
0,0,1201076,0.0
0,0,1201087,0.0
0,0,1201100,0.0
0,0,1201112,0.0
0,0,1201118,0.0
0,0,1201125,0.0
0,0,1201145,0.0
0,0,1201159,0.0
0,0,1201171,0.0
0,0,1201185,0.0
0,0,1201197,0.0
0,0,1201211,0.0
0,0,1201217,0.0
0,0,1201222,0.0
0,0,1201240,0.0
0,0,1201254,0.0
0,0,1201270,0.0
0,0,1201283,0.0
0,0,1201292,0.0
0,0,1201298,0.0
0,0,1201315,0.0
0,0,1201333,0.0
0,0,1201350,0.0
0,0,1201365,0.0
0,0,1201382,0.0
0,0,1201399,0.0
0,0,1201406,0.0
0,0,1201410,0.0
0,0,1201419,0.0
0,0,1201430,0.0
0,0,1201453,0.0
0,0,1201469,0.0
0,0,1201481,0.0
0,0,1201497,0.0
0,0,1201510,0.0
0,0,1201525,0.0
0,0,1201541,0.0
0,0,1201558,0.0
0,0,1201589,0.0
0,0,1201606,0.0
0,0,1201620,0.0
0,0,1201637,0.0
0,0,1201653,0.0
0,0,1201671,0.0
0,0,1201687,0.0
0,0,1201705,0.0
0,0,1201719,0.0
0,0,1201735,0.0
0,0,1201751,0.0
0,0,1201767,0.0
0,0,1201787,0.0
0,0,1201805,0.0
0,0,1201823,0.0
0,0,1201839,0.0
0,0,1201853,0.0
0,0,1201867,0.0
0,0,1201883,0.0
0,0,1201899,0.0
0,0,1201911,0.0
0,0,1201923,0.0
0,0,1201941,0.0
0,0,1201959,0.0
0,0,1201969,0.0
0,0,1201977,0.0
0,0,1201985,0.0
0,0,1201987,0.0
0,0,1201998,0.0
0,0,1202011,0.0
0,0,1202024,0.0
0,0,1202040,0.0
0,0,1202053,0.0
0,0,1202067,0.0
0,0,1202078,0.0
0,0,1202093,0.0
0,0,1202105,0.0
0,0,1202118,0.0
0,0,1202132,0.0
0,0,1202146,0.0
0,0,1202160,0.0
0,0,1202172,0.0
0,0,1202186,0.0
0,0,1202201,0.0
0,0,1202215,0.0
0,0,1202230,0.0
0,0,1202248,0.0
0,0,1202263,0.0
0,0,1202278,0.0
0,0,1202290,0.0
0,0,1202308,0.0
0,0,1202322,0.0
0,0,1202337,0.0
0,0,1202353,0.0
0,0,1202365,0.0
0,0,1202373,0.0
0,0,1202380,0.0
0,0,1202394,0.0
0,0,1202408,0.0
0,0,1202422,0.0
0,0,1202436,0.0
0,0,1202451,0.0
0,0,1202464,0.0
0,0,1202475,0.0
0,0,1202522,0.0
0,0,1202527,0.0
0,0,1202537,0.0
0,0,1202549,0.0
0,0,1202564,0.0
0,0,1202574,0.0
0,0,1202590,0.0
0,0,1202595,0.0
0,0,1202599,0.0
0,0,1202610,0.0
0,0,1202614,0.0
0,0,1202627,0.0
0,0,1202631,0.0
0,0,1202648,0.0
0,0,1202663,0.0
0,0,1202676,0.0
0,0,1202691,0.0
0,0,1202701,0.0
0,0,1202705,0.0
0,0,1202720,0.0
0,0,1202724,0.0
0,0,1202738,0.0
0,0,1202742,0.0
0,0,1202753,0.0
0,0,1202766,0.0
0,0,1202779,0.0
0,0,1202785,0.0
0,0,1202789,0.0
0,0,1202803,0.0
0,0,1202814,0.0
0,0,1202827,0.0
0,0,1202840,0.0
0,0,1202844,0.0
0,0,1202855,0.0
0,0,1202859,0.0
0,0,1202872,0.0
0,0,1202885,0.0
0,0,1202901,0.0
0,0,1202912,0.0
0,0,1202917,0.0
0,0,1202921,0.0
0,0,1202929,0.0
0,0,1202938,0.0
0,0,1202949,0.0
0,0,1202960,0.0
0,0,1202964,0.0
0,0,1202977,0.0
0,0,1202981,0.0
0,0,1202993,0.0
0,0,1203016,0.0
0,0,1203021,0.0
0,0,1203035,0.0
0,0,1203040,0.0
0,0,1203050,0.0
0,0,1203057,0.0
0,0,1203071,0.0
0,0,1203076,0.0
0,0,1203082,0.0
0,0,1203084,0.0
0,0,1203090,0.0
0,0,1203095,0.0
0,0,1203110,0.0
0,0,1203124,0.0
0,0,1203136,0.0
0,0,1203148,0.0
0,0,1203172,0.0
0,0,1203184,0.0
0,0,1203188,0.0
0,0,1203206,0.0
0,0,1203221,0.0
0,0,1203239,0.0
0,0,1203254,0.0
0,0,1203266,0.0
0,0,1203271,0.0
0,0,1203284,0.0
0,0,1203288,0.0
0,0,1203303,0.0
0,0,1203317,0.0
0,0,1203331,0.0
0,0,1203342,0.0
0,0,1203361,0.0
0,0,1203387,0.0
0,0,1203400,0.0
0,0,1203428,0.0
0,0,1203440,0.0
0,0,1203468,0.0
0,0,1203481,0.0
0,0,1203495,0.0
0,0,1203506,0.0
0,0,1203513,0.0
0,0,1203524,0.0
0,0,1203536,0.0
0,0,1203549,0.0
0,0,1203561,0.0
0,0,1203573,0.0
0,0,1203589,0.0
1,300,1201054,0.8199999928474426
1,300,1201066,0.10263566672801971
1,300,1201076,0.08569014817476273
1,300,1201087,0.07911459356546402
1,300,1201100,0.0
1,300,1201112,0.09884212166070938
1,300,1201118,0.04789832979440689
1,300,1201125,0.0365896113216877
1,300,1201145,0.0
1,300,1201159,0.09922955185174942
1,300,1201171,0.0
1,300,1201185,0.0
1,300,1201197,0.0
1,300,1201211,0.0
1,300,1201217,0.0
1,300,1201222,0.0
1,300,1201240,0.0
1,300,1201254,0.0
1,300,1201270,0.0
1,300,1201283,0.0
1,300,1201292,0.0
1,300,1201298,0.0
1,300,1201315,0.0
1,300,1201333,0.0
1,300,1201350,0.0
1,300,1201365,0.0
1,300,1201382,0.0
1,300,1201399,0.0
1,300,1201406,0.0
1,300,1201410,0.0
1,300,1201419,0.0
1,300,1201430,0.0
1,300,1201453,0.0
1,300,1201469,0.0
1,300,1201481,0.0
1,300,1201497,0.0
1,300,1201510,0.0
1,300,1201525,0.0
1,300,1201541,0.0
1,300,1201558,0.0
1,300,1201589,0.0
1,300,1201606,0.0
1,300,1201620,0.0
1,300,1201637,0.0
1,300,1201653,0.0
1,300,1201671,0.0
1,300,1201687,0.0
1,300,1201705,0.0
1,300,1201719,0.0
1,300,1201735,0.0
1,300,1201751,0.0
1,300,1201767,0.0
1,300,1201787,0.0
1,300,1201805,0.0
1,300,1201823,0.0
1,300,1201839,0.0
1,300,1201853,0.0
1,300,1201867,0.0
1,300,1201883,0.0
1,300,1201899,0.0
1,300,1201911,0.0
1,300,1201923,0.0
1,300,1201941,0.0
1,300,1201959,0.0
1,300,1201969,0.0
1,300,1201977,0.0
1,300,1201985,0.0
1,300,1201987,0.0
1,300,1201998,0.0
1,300,1202011,0.0
1,300,1202024,0.0
1,300,1202040,0.0
1,300,1202053,0.0
1,300,1202067,0.0
1,300,1202078,0.0
1,300,1202093,0.0
1,300,1202105,0.0
1,300,1202118,0.0
1,300,1202132,0.0
1,300,1202146,0.0
1,300,1202160,0.0
1,300,1202172,0.0
1,300,1202186,0.0
1,300,1202201,0.0
1,300,1202215,0.0
1,300,1202230,0.0
1,300,1202248,0.0
1,300,1202263,0.0
1,300,1202278,0.0
1,300,1202290,0.0
1,300,1202308,0.0
1,300,1202322,0.0
1,300,1202337,0.0
1,300,1202353,0.0
1,300,1202365,0.0
1,300,1202373,0.0
1,300,1202380,0.0
1,300,1202394,0.0
1,300,1202408,0.0
1,300,1202422,0.0
1,300,1202436,0.0
